userId,itemId,rating
2,34599,10
5,4181,10
6,2904,10
7,16664,6
17,30276,8
20,4181,10
21,4181,5
85,4181,10
105,5680,8
115,552,8
121,5680,10
122,5680,9
125,5680,9
126,5680,1
127,5680,7
130,5680,10
132,5680,8
135,5680,10
136,5680,8
140,5680,8
145,5680,7
160,5680,7
165,5680,7
166,5680,9
167,5680,9
180,5680,5
186,5680,9
190,5680,10
191,5680,6
192,5680,8
195,5680,5
200,5680,8
217,5680,8
220,5680,8
225,5680,6
226,5680,10
231,5680,8
232,5680,10
246,5680,10
251,5680,6
252,5680,5
260,5680,8
262,5680,10
266,5680,9
32,552,6
272,552,5
275,552,9
280,5680,8
281,5680,8
17,5680,9
286,5680,9
287,5680,10
292,5680,2
295,5680,9
301,552,5
111,552,8
11,552,8
316,38145,7
320,38145,9
326,38145,8
355,5680,10
356,5680,4
357,5680,7
362,5680,7
367,5680,7
427,552,9
437,552,8
441,552,9
442,38145,7
450,38145,8
451,38145,10
452,38145,8
456,38145,8
382,38145,8
110,5680,8
481,5680,2
377,5680,9
485,5680,7
492,5680,6
11,5680,5
510,5680,8
520,5680,3
522,5680,9
525,5680,8
537,322,7
540,322,9
545,97,6
565,322,9
567,322,8
572,322,8
575,97,5
576,97,10
581,97,5
582,97,8
585,97,6
586,97,8
591,97,9
592,97,8
617,322,7
620,322,10
640,322,10
641,97,6
642,97,10
597,97,9
645,97,8
647,97,7
650,97,7
651,97,8
652,97,8
670,322,10
672,322,10
675,322,7
676,322,8
680,322,7
682,322,8
525,322,9
716,1571,8
727,269,5
730,1571,9
731,269,3
732,269,7
737,1571,8
746,1571,9
752,1571,8
762,202,10
766,202,7
771,202,9
772,269,3
780,269,5
790,1571,8
805,202,9
806,202,8
807,202,8
810,202,9
815,202,10
821,269,3
822,269,3
825,269,5
826,269,1
661,269,3
851,1571,4
856,202,7
572,202,9
731,202,9
866,202,8
246,269,5
382,269,3
887,1571,8
891,1571,7
856,1571,6
11,1571,8
895,1571,9
897,1571,10
110,202,9
11,202,10
915,202,3
585,202,6
652,202,8
597,202,6
921,202,8
110,32998,8
927,32998,8
930,32998,8
931,32998,8
935,32998,7
936,32998,7
937,32998,5
941,269,4
937,269,5
951,269,3
957,269,8
421,269,8
375,30123,5
960,30123,7
961,30123,10
281,30123,7
930,30123,6
965,30123,4
966,30123,8
967,30123,5
111,30123,9
971,30123,10
975,30123,10
977,30123,8
982,30123,8
986,30123,5
762,30123,8
160,30123,5
991,30123,9
992,30123,9
995,30123,8
1000,30123,7
1005,30123,7
1012,30123,5
1015,30123,10
1020,30123,8
1021,30123,9
1022,30123,6
286,30123,8
1037,30123,10
1040,30123,10
1041,30123,9
1042,30123,9
1051,30123,4
1055,1571,9
1060,1571,10
1066,1571,7
1067,1571,6
1085,4181,10
1095,4181,10
1105,30276,8
1022,30276,8
1012,30276,8
1107,30276,8
1111,30276,6
1112,30276,10
531,35860,8
1130,28999,10
1132,28999,10
1137,28999,7
286,28999,8
1141,28999,8
982,28999,7
1142,28999,7
1021,28999,9
51,28999,7
1171,28999,10
1175,28999,9
232,28999,10
1190,28999,7
1197,28999,10
160,28999,6
1200,28999,6
1202,28999,8
1206,28999,8
1212,28999,9
992,28999,9
1215,28999,9
1216,28999,7
1220,28999,8
1221,28999,10
1226,28999,8
551,28999,9
1227,28999,10
1232,28999,8
1235,28999,4
1236,28999,6
1247,28999,6
1251,28999,8
1252,28999,9
1256,28999,6
1260,28999,6
1261,28999,7
1266,28999,9
1272,28999,9
1276,28999,8
1285,28999,8
1290,28999,6
1292,28999,8
1297,28999,7
1320,28999,6
1321,28999,8
1325,28999,9
1332,28999,5
1335,28999,7
1336,28999,8
1337,28999,10
960,28999,4
1346,28999,7
995,28999,9
17,28999,7
1362,28999,3
1365,28999,9
1372,28999,9
762,20057,10
1386,20057,7
1401,35860,5
1130,35860,7
1402,28999,7
1407,28999,8
110,28999,8
1412,28999,6
1416,20057,8
1420,20057,5
1425,20057,10
32,20057,6
1431,20057,8
47,3092,7
1440,35860,8
1445,35860,7
1446,35860,7
56,28999,7
1457,28999,9
1460,28999,9
1462,28999,4
105,28999,7
1481,20057,7
1485,20057,7
1487,20057,8
1521,35860,10
1525,28999,1
1526,28999,8
1531,28999,4
1535,28999,8
1536,28999,3
1540,28999,3
56,20057,8
1551,20057,9
1555,20057,8
1556,20057,5
1557,20057,6
1561,20057,8
1580,3092,6
790,3092,5
1591,35860,9
442,35860,7
1600,35860,6
1612,28999,1
450,28999,6
1615,28999,1
281,28999,3
1616,28999,10
1620,28999,3
1621,28999,3
1622,28999,3
1640,3092,2
110,3092,3
1645,3092,8
1646,3092,8
1651,3092,3
1655,3092,9
522,3092,4
1656,3092,9
456,35860,9
1660,35860,4
1661,35860,9
452,35860,8
51,39597,7
856,11887,8
1716,11887,7
1720,11887,9
485,11887,8
132,11887,8
1726,11887,10
1235,11887,6
1727,11887,8
1730,11887,9
1731,11887,10
1732,11887,9
991,11887,10
1171,11887,9
1005,11887,7
1752,11887,8
1760,11887,8
1202,11887,10
51,11887,7
301,11887,7
1767,11887,9
1772,11887,9
1775,11887,8
1780,11887,7
1781,11887,8
1782,11887,9
1785,11887,9
982,11887,8
1786,11887,8
1790,11887,9
1792,11887,9
1796,11887,10
1797,11887,6
105,11887,9
737,11887,6
1810,11887,7
1812,11887,7
1820,11887,6
1825,11887,9
1831,11887,9
1841,267,7
1847,267,8
1850,267,9
1851,267,8
1852,267,9
1620,39597,2
1865,39597,4
1882,11887,7
1905,267,8
1906,267,7
1910,267,5
1915,267,10
1917,267,7
1942,39597,4
1945,39597,9
1445,11887,9
1971,11887,3
1976,11887,10
1985,267,3
1987,267,10
1990,267,10
597,267,6
2016,11887,9
2025,11887,7
2027,11887,10
592,5630,9
11,5630,8
2050,5630,8
2052,5630,9
575,5630,6
2037,5630,7
2065,5630,7
2070,5630,10
2077,5630,10
2081,5630,9
2086,5630,9
856,5630,6
2096,5630,6
51,5630,7
2100,5630,8
2101,5630,3
2102,5630,8
2105,5630,10
752,12413,7
2125,12413,9
2131,5630,8
2135,5630,9
1917,5630,7
2142,12413,7
2145,12413,10
2151,12413,8
62,12413,8
2152,12413,9
287,12413,6
110,12413,7
2155,12413,7
2200,5630,7
2201,5630,8
597,5630,9
2202,5630,9
620,5630,6
421,5630,9
2206,5630,8
1077,12413,7
2210,12413,6
2211,12413,8
2212,12413,8
2217,12413,8
2220,12413,8
2182,4181,10
2245,4181,10
2246,4181,6
2255,35507,9
2256,35507,6
2260,12445,7
2265,12445,9
462,12445,7
2270,12445,10
2271,12445,6
2286,35507,9
2,35507,8
2292,35507,6
2302,35507,6
2307,35507,7
2070,35507,8
2310,35507,8
2315,35507,9
2316,35507,6
1171,12445,9
1976,12445,8
2330,12445,7
2331,12445,10
2336,35507,7
2337,35507,8
2345,35507,7
2346,35507,9
2352,12445,8
2356,12445,6
2361,35507,6
2367,35507,6
2372,35507,5
2375,35507,9
2382,12445,8
2386,12445,10
2387,12445,10
2016,12445,8
642,12445,8
2392,35507,8
551,35507,7
2397,35507,9
1232,12445,8
856,12445,10
670,12445,9
2410,12445,6
2411,12445,6
737,12445,8
1297,12445,8
2415,12445,10
2416,35507,8
2421,35507,6
2422,35507,8
2426,35507,10
2432,12445,8
2142,12445,8
2435,12445,9
2436,12445,9
1810,12445,6
2260,35507,7
2445,35507,9
960,35507,5
167,35507,6
32,35507,7
966,35507,8
2467,12445,8
930,12445,5
2470,12445,6
651,12445,7
2487,35507,9
2490,35507,10
2491,35507,3
2506,2904,9
2507,2904,8
2511,2904,8
481,2904,7
2521,2904,10
2527,5114,8
2530,5114,10
2532,5114,9
1206,38000,10
2545,38000,10
2550,38000,8
2551,38000,8
326,38000,8
2552,38000,9
2392,34599,9
200,34599,8
670,34599,9
2566,34599,9
2571,30276,8
1407,30276,9
1252,30276,8
2577,30276,10
2012,30276,7
2580,30276,10
810,4898,7
70,4898,7
2605,4898,10
2606,4898,9
2607,4898,6
47,4898,10
2620,4898,10
2630,4898,7
2635,4898,8
2641,4898,8
2647,4898,4
2650,4898,9
2651,4898,9
2662,4898,7
51,4898,7
2677,4898,4
2682,4898,10
2686,4898,10
2690,4898,10
2696,4898,10
2701,4898,8
32,4898,8
195,4898,5
2077,4898,5
891,4898,9
661,4898,10
11,4898,8
941,4898,6
2717,8142,5
737,8142,7
551,8142,7
2722,8142,7
2731,35073,6
1,35073,6
2307,35073,7
2361,35073,5
272,35073,4
2735,4898,9
2747,4898,7
2750,4898,10
2765,14349,9
2766,14349,10
551,14349,8
2772,8142,9
2775,8142,10
32,8142,9
11,8142,8
2796,35073,10
2806,249,8
2467,249,8
2811,249,10
2812,249,10
2817,249,8
2842,249,3
226,249,10
2851,249,10
2331,249,10
2856,249,8
32,249,7
2865,249,10
2867,249,8
2870,249,10
2877,249,8
771,249,8
2885,249,9
2886,249,5
2887,4898,5
2890,4898,10
2896,4898,7
110,4898,8
2897,4898,10
166,14349,10
2926,14349,9
2927,14349,6
2105,14349,8
115,8142,8
2952,8142,8
2955,8142,9
2957,19111,8
585,19111,7
2965,19111,10
2966,19111,8
1297,19111,7
105,19111,9
656,19111,7
927,35073,7
2991,35073,7
110,35073,7
960,35073,4
2997,35073,5
3000,35073,8
3005,249,5
3015,249,3
3022,4898,7
6,4898,10
2161,4898,2
575,4898,5
727,4898,7
1797,14349,8
3036,14349,8
36,14349,8
3037,14349,9
3040,14349,7
3042,14349,8
597,14349,7
3046,14349,8
3047,14349,10
2690,19111,9
281,19111,8
110,19111,9
17,19111,9
2491,19111,6
3052,19111,10
3057,19111,7
3086,35073,8
3090,35073,10
3095,35073,8
1446,35073,9
3057,22319,6
3106,22319,5
36,15809,7
3110,22319,3
3112,15809,7
281,15809,6
3116,22319,10
3117,22319,8
11,15809,6
2337,22319,9
3126,22319,7
551,15809,9
3140,15809,7
3141,15809,7
47,15809,7
17,22319,8
3157,22319,4
32,22319,7
3171,22319,6
2607,22319,8
1226,22319,8
3175,22319,7
3176,22319,5
3177,22319,5
3190,22319,7
272,22319,7
132,22319,8
3195,22319,9
3200,22319,8
3202,22319,4
856,22319,4
20,22319,9
3230,15809,8
462,22319,7
3245,15809,7
3255,22319,8
961,22319,10
2411,22319,8
3265,22319,5
2445,15809,10
3270,15809,6
3271,15809,9
470,15809,6
3277,15809,10
1112,22319,8
